username,Followers,Total Post,Last Post Likes,Last Post Comments,Engagement Rate
shaboozey,1080090,38,60214,1497,2.00%
ladygaga,57626918,3749,389759,4483,1.51%
billieeilish,121003456,953,8504270,140843,2.82%
sabrinacarpenter,42285073,340,3287621,22500,6.35%
postmalone,27130993,1364,439286,4056,0.89%
teddyswims,7215779,770,506447,8782,2.58%
feliciathegoat,15909698,514,1204057,9258,13.05%
morganwallen,8076469,819,212003,2075,4.84%
bensonboone,3530832,92,151264,808,5.27%
chappellroan,5515837,612,506097,4843,16.47%
roses_are_rosie,80874412,1064,1404823,13202,4.03%
hozier,3515277,1016,455743,2705,4.32%
kendricklamar,16835894,4,3196737,130412,18.83%
michaeljackson,9430077,1613,75335,518,1.46%
jellyroll615,3661161,1024,56183,3226,0.44%
oscar_maydonn,2074824,28,903027,2611,24.76%
theweeknd,74664799,980,4244542,51999,1.36%
gracieabrams,3820458,1309,822350,10273,14.62%
rayparkerjr,24435,401,3894,186,4.11%
no ig account (no longer alive),N/A,N/A,N/A,N/A,0.00%
tommyrichman.png,284606,9,14864,182,8.52%
gigi4perez,159988,305,7818,103,14.14%
marshmello,30048233,37,123644,883,0.22%
mylessmithuk,1424027,103,367119,961,1.69%
glorillapimp,5838796,64,336061,7659,8.67%
marilynmanson,6600342,14,50113,N/A,1.83%
dashamusic,300526,244,4383,151,1.65%
zachlanebryan,4704960,575,99992,N/A,5.83%
lukecombs,7060539,1468,466033,3192,4.40%
rockwell_artist,1022,280,67,6,3.22%
ellalangleymusic,734244,724,69281,397,6.92%
taylorswift,283546265,674,3625816,N/A,1.91%
j.m,53199441,94,9701453,N/A,14.38%
summerwalker,6309971,27,278559,1017,5.08%
jordanadetunji,254268,109,4111,78,2.96%
tuckerwetmore,492630,173,12552,398,3.76%
koe_wetzel,971528,579,7013,43,4.20%
rodwave,7939211,63,1168371,41155,8.94%
tatemcrae,4988713,305,667299,11282,11.28%
realbostonrichey,813709,58,175780,2436,0.82%
theestallion,32706661,521,507642,6806,2.92%
karolg,70446956,3342,2510993,18480,3.85%
addisonraee,34484120,90,465204,1941,1.03%
titodoublep,2943012,41,756533,4304,22.53%
bossman_dlow,1018511,61,647599,20000,10.65%
pesopluma,14953465,62,822821,2818,5.75%
codyjohnson,1957842,2643,12030,93,2.58%
chrisbrownofficial,144534951,7718,752108,7853,0.28%
thekidlaroi,4181473,45,198157,1019,4.86%
zachtop,817788,418,34746,687,5.18%
thomasrhettakins,4900919,2927,13831,99,1.50%
themarias,1006044,320,96951,1790,16.27%
chrisstapleton,2666003,417,138416,2176,0.88%
21savage,21058532,1373,441303,924,6.34%
charli_xcx,6681960,154,544761,995,6.46%
moneybaggyo,10216809,10,440166,2738,5.16%
bigxthaplug,1098933,127,166857,1729,2.64%
nlechoppamusic,7990638,52,162067,3293,2.94%
megmoroney,1523558,617,234843,2270,17.25%
dontoliver,3698626,102,145715,2404,7.03%
fuerzaregida,8195855,2009,64712,318,0.72%
gunna,5136884,101,166670,979,4.01%
brunomars,39069936,666,3776307,18260,9.34%
realkylerichh,470420,2,34669,622,12.72%
iamlilta,339888,28,10755,329,5.31%
latoiyawilliamsofficial,22214,342,1992,300,2.68%
danielcaesar,2447457,6,187179,625,6.55%
sexyyred,4787339,540,481094,8314,11.48%
liltunechi,19024167,310,19788,559,0.33%
teezotouchdown,535387,146,141089,5059,8.40%
playboicarti,12758129,2,3728596,96894,35.21%
kanebrown,3740608,335,148159,879,4.07%
ernest,540491,2574,20448,113,1.36%
lolayounggg,567694,188,31110,592,5.20%
rileyduckman,1849426,975,143924,725,6.14%
doechii,1026289,60,113557,3273,10.57%
jessiemurphhh,1413930,31,31331,179,3.11%
blakeshelton,6875622,1268,13380,400,0.21%
yukichiba_,241419,45,16332,245,6.70%
carrieunderwood,13207244,2710,10937,256,0.12%
net0n__,428540,16,101952,532,23.78%
therealjenncarter,529711,47,58827,560,6.08%
tpain,4792882,1518,5932,150,0.16%
